
> format
> prettier --write .

[90m.github/workflows/automatic-transcription.yml[39m 36ms (unchanged)
[90m.github/workflows/ci.yml[39m 36ms (unchanged)
[90m.github/workflows/exam-engine.yml[39m 10ms (unchanged)
[[31merror[39m] .github/workflows/finalize-automatic-transcription-pr.yml: SyntaxError: A collection cannot be both a mapping and a sequence (1:1)
[[31merror[39m] [0m[31m[1m>[22m[39m[90m  1 |[39m name[33m:[39m [33mNormalize[39m automatic transcription [33mPR[39m
.output/public/assets/quiz-library-u-4GcMcY.js                       8.85 kB │ gzip:   3.15 kB
.output/public/assets/store-Cr1tIrhy.js                              8.93 kB │ gzip:   2.32 kB
.output/public/assets/long-media-store-CJL37pT_.js                   9.15 kB │ gzip:   3.46 kB
.output/public/assets/app.notes-BYCWgm0W.js                         10.02 kB │ gzip:   3.50 kB
.output/public/assets/dialog-1XSm025r.js                            10.42 kB │ gzip:   3.76 kB
.output/public/assets/concept-store-Csj6Vo-5.js                     10.96 kB │ gzip:   3.71 kB
.output/public/assets/app.lecture-media-B_oPylZf.js                 11.10 kB │ gzip:   4.66 kB
.output/public/assets/syllabus-parser-uJHTAn2g.js                   11.78 kB │ gzip:   4.59 kB
.output/public/assets/app.materials-CHZB6rf2.js                     12.37 kB │ gzip:   3.72 kB
.output/public/assets/app.search-Ccu7pHws.js                        12.82 kB │ gzip:   4.88 kB
.output/public/assets/app-Kb6eDSER.js                               13.41 kB │ gzip:   5.27 kB
.output/public/assets/multi-page-image-materials-CTMbJORr.js        13.52 kB │ gzip:   4.84 kB
.output/public/assets/app.courses-CIVglfWy.js                       13.74 kB │ gzip:   4.48 kB
.output/public/assets/material-intake-OhnmVmzs.js                   17.86 kB │ gzip:   6.70 kB
.output/public/assets/app.notes._noteId-i73UuIn-.js                 17.90 kB │ gzip:   6.10 kB
.output/public/assets/ai-generate-dialog-impl-C_K5dMlC.js           19.90 kB │ gzip:   5.59 kB
.output/public/assets/material-intake-queue-aiK8GCqS.js             21.64 kB │ gzip:   7.46 kB
.output/public/assets/app.quiz-quality_._quizId-JibJ1qnQ.js         21.99 kB │ gzip:   7.64 kB
.output/public/assets/app.dashboard-I7SymKmG.js                     25.47 kB │ gzip:   8.08 kB
.output/public/assets/utils-BO-Kactj.js                             27.73 kB │ gzip:   9.11 kB
.output/public/assets/app.exam-engine-CNOk58Rl.js                   29.02 kB │ gzip:   8.67 kB
.output/public/assets/app.import-syllabus-DlscNmOW.js               31.84 kB │ gzip:  10.61 kB
.output/public/assets/app.flashcards-Bc0Jgrtx.js                    40.85 kB │ gzip:  11.52 kB
.output/public/assets/app.data-CiAzpzUE.js                          41.29 kB │ gzip:  12.36 kB
.output/public/assets/app.quizzes_._quizId-Byk1ThMf.js              43.45 kB │ gzip:  12.10 kB
.output/public/assets/app-context-BQTW4isT.js                       67.11 kB │ gzip:  22.35 kB
.output/public/assets/select-Clbl1rNq.js                            76.37 kB │ gzip:  26.03 kB
.output/public/assets/app.courses_._courseId-DKTc9uIZ.js            80.48 kB │ gzip:  20.77 kB
.output/public/assets/jszip.min-Bm_16osY.js                         95.86 kB │ gzip:  28.45 kB
.output/public/assets/app.materials_._materialId-QrdX9baG.js       158.92 kB │ gzip:  44.01 kB
.output/public/assets/xlsx-KN2ETrJ7.js                             331.62 kB │ gzip: 112.79 kB
.output/public/assets/index-BMAHb3pB.js                            360.10 kB │ gzip: 111.55 kB
.output/public/assets/docx-D1aRJyOR.js                             400.76 kB │ gzip:  97.55 kB
.output/public/assets/pdf-BFCpIkNf.js                              425.24 kB │ gzip: 126.73 kB

[32m✓ built in 2.21s[39m
[36mvite v8.0.16 [32mbuilding ssr environment for production...[36m[39m
[2Ktransforming...✓ 233 modules transformed.
rendering chunks...
computing gzip size...
node_modules/.nitro/vite/services/ssr/assets/image-preprocessing.worker-B7LaHJE7.js         4.50 kB
node_modules/.nitro/vite/services/ssr/assets/pdf.worker-CPbhI6B3.mjs                    2,206.29 kB
node_modules/.nitro/vite/services/ssr/assets/content-workspace-global-DxTEYmw3.css          0.84 kB │ gzip:  0.36 kB
node_modules/.nitro/vite/services/ssr/assets/router--1c_M5bZ.css                            5.85 kB │ gzip:  1.60 kB
node_modules/.nitro/vite/services/ssr/assets/app-shell-DHXX4Tue.css                        10.53 kB │ gzip:  2.68 kB
node_modules/.nitro/vite/services/ssr/assets/styles-Dq9WoNuZ.css                          169.34 kB │ gzip: 32.47 kB
node_modules/.nitro/vite/services/ssr/assets/pdf.worker-czr5L6JA.js                         0.17 kB │ gzip:  0.14 kB
node_modules/.nitro/vite/services/ssr/assets/utils-C_uf36nf.js                              0.18 kB │ gzip:  0.15 kB
node_modules/.nitro/vite/services/ssr/assets/empty-plugin-adapters-D9UWiqvJ.js              0.22 kB │ gzip:  0.16 kB
node_modules/.nitro/vite/services/ssr/assets/app.quizzes-CGMx7Aag.js                        0.28 kB │ gzip:  0.22 kB
node_modules/.nitro/vite/services/ssr/assets/app.notes._noteId-CYqzhzww.js                  0.36 kB │ gzip:  0.23 kB
node_modules/.nitro/vite/services/ssr/assets/app.quizzes_._quizId-BJwPusOM.js               0.37 kB │ gzip:  0.23 kB
node_modules/.nitro/vite/services/ssr/assets/app.quiz-quality_._quizId-BfNP5nmU.js          0.38 kB │ gzip:  0.24 kB
node_modules/.nitro/vite/services/ssr/assets/app.presentations_._outlineId-CecuwEj4.js      0.39 kB │ gzip:  0.24 kB
node_modules/.nitro/vite/services/ssr/assets/label-DBD1bRRP.js                              0.64 kB │ gzip:  0.38 kB
node_modules/.nitro/vite/services/ssr/assets/start-Ok9K6Nid.js                              0.64 kB │ gzip:  0.39 kB
node_modules/.nitro/vite/services/ssr/assets/textarea-kko37XEX.js                           0.66 kB │ gzip:  0.42 kB
node_modules/.nitro/vite/services/ssr/assets/input-B8Q2ztVi.js                              0.75 kB │ gzip:  0.45 kB
node_modules/.nitro/vite/services/ssr/assets/docx-BbwJm5RQ.js                               0.83 kB │ gzip:  0.45 kB
node_modules/.nitro/vite/services/ssr/assets/createStart-Dt05N14y.js                        1.65 kB │ gzip:  0.57 kB
node_modules/.nitro/vite/services/ssr/assets/button-Bq5vK6RO.js                             1.65 kB │ gzip:  0.77 kB
node_modules/.nitro/vite/services/ssr/assets/pdf-D8xP9Lx9.js                                1.77 kB │ gzip:  0.85 kB
node_modules/.nitro/vite/services/ssr/assets/xlsx-iICORIBT.js                               1.79 kB │ gzip:  0.89 kB
node_modules/.nitro/vite/services/ssr/assets/app.presentations-C8wJI9hq.js                  2.84 kB │ gzip:  1.10 kB
node_modules/.nitro/vite/services/ssr/assets/dialog-DIo89e4g.js                             3.11 kB │ gzip:  1.00 kB
node_modules/.nitro/vite/services/ssr/assets/ai-CiUJvVjA.js                                 3.31 kB │ gzip:  1.08 kB
node_modules/.nitro/vite/services/ssr/index.js                                              3.41 kB │ gzip:  1.46 kB
node_modules/.nitro/vite/services/ssr/assets/golden-quiz-zFShagnh.js                        3.51 kB │ gzip:  1.22 kB
node_modules/.nitro/vite/services/ssr/assets/automatic-transcription-store--VZcfaYp.js      4.03 kB │ gzip:  0.98 kB
node_modules/.nitro/vite/services/ssr/assets/open-answer-review-DRINEMI_.js                 4.13 kB │ gzip:  1.39 kB
node_modules/.nitro/vite/services/ssr/assets/select-Dg1urBTx.js                             4.67 kB │ gzip:  1.34 kB
node_modules/.nitro/vite/services/ssr/assets/app.program-VKjPJYNG.js                        4.72 kB │ gzip:  1.30 kB
node_modules/.nitro/vite/services/ssr/assets/app.presentations_._outlineId-BTtZAl_8.js      5.29 kB │ gzip:  1.60 kB
node_modules/.nitro/vite/services/ssr/assets/app.study-session-CgLXL93g.js                  6.64 kB │ gzip:  1.80 kB
node_modules/.nitro/vite/services/ssr/assets/document-ingestion-BiJWI_Of.js                 6.81 kB │ gzip:  2.53 kB
node_modules/.nitro/vite/services/ssr/assets/app.study-plan-Bnzo9XXk.js                     7.05 kB │ gzip:  2.35 kB
node_modules/.nitro/vite/services/ssr/assets/app-shell-BBd1zSW1.js                          7.12 kB │ gzip:  2.16 kB
node_modules/.nitro/vite/services/ssr/assets/automatic-transcription-C2ulj23c.js            7.65 kB │ gzip:  2.60 kB
node_modules/.nitro/vite/services/ssr/assets/app.progress-Y9Lfepyo.js                       8.56 kB │ gzip:  2.19 kB
node_modules/.nitro/vite/services/ssr/assets/quiz-attempt-details-JMeYG3U4.js               8.61 kB │ gzip:  2.42 kB
node_modules/.nitro/vite/services/ssr/assets/app.settings-Bfv9z4m9.js                       9.38 kB │ gzip:  2.88 kB
node_modules/.nitro/vite/services/ssr/assets/ocr-contract-Bl5oSXP5.js                       9.51 kB │ gzip:  2.82 kB
node_modules/.nitro/vite/services/ssr/assets/app.calendar-CQY3Qd4S.js                       9.74 kB │ gzip:  2.78 kB
node_modules/.nitro/vite/services/ssr/assets/ai-draft-modal-Dlw_Vv8K.js                    10.53 kB │ gzip:  3.05 kB
node_modules/.nitro/vite/services/ssr/assets/app.search-DrNCcPGc.js                        12.76 kB │ gzip:  3.87 kB
node_modules/.nitro/vite/services/ssr/assets/app.assignments-CGf-kaDH.js                   12.99 kB │ gzip:  3.28 kB
node_modules/.nitro/vite/services/ssr/assets/quiz-library-BiRKPQ2A.js                      14.63 kB │ gzip:  3.93 kB
node_modules/.nitro/vite/services/ssr/assets/store-BXPBwZSd.js                             15.06 kB │ gzip:  3.49 kB
node_modules/.nitro/vite/services/ssr/assets/app.notes-B5SYjEuP.js                         15.75 kB │ gzip:  4.27 kB
node_modules/.nitro/vite/services/ssr/assets/_tanstack-start-manifest_v-35zYzGPt.js        15.97 kB │ gzip:  2.62 kB
node_modules/.nitro/vite/services/ssr/assets/app.lecture-media-DL8lgtpF.js                 16.20 kB │ gzip:  5.49 kB
node_modules/.nitro/vite/services/ssr/assets/multi-page-image-materials-C1jI7iAI.js        16.22 kB │ gzip:  4.13 kB
node_modules/.nitro/vite/services/ssr/assets/long-media-store-DfXUR-0h.js                  16.47 kB │ gzip:  4.44 kB
node_modules/.nitro/vite/services/ssr/assets/app.search-_eeeGlNe.js                        17.26 kB │ gzip:  5.38 kB
node_modules/.nitro/vite/services/ssr/assets/concept-store-ORjSLnpW.js                     20.42 kB │ gzip:  5.12 kB
node_modules/.nitro/vite/services/ssr/assets/app.materials-DFQ3tOg6.js                     20.93 kB │ gzip:  4.51 kB
node_modules/.nitro/vite/services/ssr/assets/syllabus-parser-3LtDIEeP.js                   21.08 kB │ gzip:  5.94 kB
node_modules/.nitro/vite/services/ssr/assets/app.courses-C2Mf1Mhy.js                       22.07 kB │ gzip:  5.50 kB
node_modules/.nitro/vite/services/ssr/assets/app-PKrNxQAj.js                               23.53 kB │ gzip:  7.27 kB
node_modules/.nitro/vite/services/ssr/assets/app.notes._noteId-Hr0JDkCN.js                 26.84 kB │ gzip:  7.05 kB
node_modules/.nitro/vite/services/ssr/assets/app.quiz-quality_._quizId-BeIcjU4Y.js         34.41 kB │ gzip:  9.43 kB
node_modules/.nitro/vite/services/ssr/assets/material-intake-queue-BSfgmLmL.js             34.50 kB │ gzip:  8.72 kB
node_modules/.nitro/vite/services/ssr/assets/ai-generate-dialog-impl-CeLp6Hla.js           34.72 kB │ gzip:  7.15 kB
node_modules/.nitro/vite/services/ssr/assets/material-intake-Cu3WUQFI.js                   35.53 kB │ gzip:  9.45 kB
node_modules/.nitro/vite/services/ssr/assets/app.dashboard-BwodceY6.js                     36.69 kB │ gzip:  9.08 kB
node_modules/.nitro/vite/services/ssr/assets/app-context-1mv_pRX8.js                       44.56 kB │ gzip: 12.70 kB
node_modules/.nitro/vite/services/ssr/assets/app.exam-engine-BESWgcHy.js                   47.42 kB │ gzip: 10.67 kB
node_modules/.nitro/vite/services/ssr/assets/app.import-syllabus-Cw_7-z6J.js               52.00 kB │ gzip: 13.44 kB
node_modules/.nitro/vite/services/ssr/assets/server-C3EDA0_p.js                            58.69 kB │ gzip: 15.11 kB
node_modules/.nitro/vite/services/ssr/assets/app.flashcards-EDgzrlBw.js                    65.95 kB │ gzip: 14.58 kB
node_modules/.nitro/vite/services/ssr/assets/app.quizzes_._quizId-B0WhMGDY.js              68.81 kB │ gzip: 15.63 kB
node_modules/.nitro/vite/services/ssr/assets/app.data-CUihR_E6.js                          69.69 kB │ gzip: 15.91 kB
node_modules/.nitro/vite/services/ssr/assets/router-AiNL89fk.js                            92.29 kB │ gzip: 22.96 kB
node_modules/.nitro/vite/services/ssr/assets/app.courses_._courseId-B3lPx8NA.js           121.56 kB │ gzip: 25.98 kB
node_modules/.nitro/vite/services/ssr/assets/app.materials_._materialId-CvfbJPNH.js       231.39 kB │ gzip: 50.61 kB

[32m✓ built in 1.31s[39m
[start] [nitro] Building [[35mNitro[39m] [2m(preset: `cloudflare-module`, compatibility: `2026-07-16`)[22m
[success] [nitro] Generated public [36m.output/public[39m
[36mvite v8.0.16 [32mbuilding nitro environment for production...[36m[39m
[warn] `inlineDynamicImports` option is ignored because the `codeSplitting` option is specified.
[2Ktransforming...✓ 2260 modules transformed.
rendering chunks...
computing gzip size...
.output/server/_libs/radix-ui__number.mjs                         0.17 kB │ gzip:   0.15 kB
.output/server/_ssr/pdf.worker-czr5L6JA.mjs                       0.19 kB │ gzip:   0.15 kB
.output/server/_ssr/empty-plugin-adapters-D9UWiqvJ.mjs            0.23 kB │ gzip:   0.16 kB
.output/server/_ssr/utils-C_uf36nf.mjs                            0.29 kB │ gzip:   0.21 kB
.output/server/_libs/isarray.mjs                                  0.35 kB │ gzip:   0.25 kB
.output/server/_ssr/app.quizzes-CGMx7Aag.mjs                      0.42 kB │ gzip:   0.29 kB
.output/server/_libs/radix-ui__primitive.mjs                      0.42 kB │ gzip:   0.23 kB
.output/server/_ssr/app.notes._noteId-CYqzhzww.mjs                0.43 kB │ gzip:   0.28 kB
.output/server/_ssr/app.quizzes_._quizId-BJwPusOM.mjs             0.44 kB │ gzip:   0.28 kB
.output/server/_ssr/app.quiz-quality_._quizId-BfNP5nmU.mjs        0.45 kB │ gzip:   0.28 kB
.output/server/_ssr/app.presentations_._outlineId-CecuwEj4.mjs    0.47 kB │ gzip:   0.28 kB
.output/server/_libs/radix-ui__react-direction.mjs                0.59 kB │ gzip:   0.31 kB
.output/server/_chunks/ssr-renderer.mjs                           0.60 kB │ gzip:   0.36 kB
.output/server/_ssr/start-Ok9K6Nid.mjs                            0.69 kB │ gzip:   0.42 kB
.output/server/_libs/tanstack__react-query.mjs                    0.78 kB │ gzip:   0.38 kB
.output/server/_ssr/label-DBD1bRRP.mjs                            0.96 kB │ gzip:   0.48 kB
.output/server/_ssr/textarea-kko37XEX.mjs                         0.98 kB │ gzip:   0.53 kB
.output/server/_ssr/docx-BbwJm5RQ.mjs                             1.01 kB │ gzip:   0.55 kB
.output/server/_ssr/input-B8Q2ztVi.mjs                            1.07 kB │ gzip:   0.57 kB
.output/server/_libs/hookable.mjs                                 1.16 kB │ gzip:   0.51 kB
.output/server/_libs/inherits.mjs                                 1.23 kB │ gzip:   0.47 kB
.output/server/_ssr/createStart-Dt05N14y.mjs                      1.56 kB │ gzip:   0.57 kB
.output/server/_runtime.mjs                                       1.62 kB │ gzip:   0.77 kB
.output/server/_ssr/pdf-D8xP9Lx9.mjs                              1.83 kB │ gzip:   0.91 kB
.output/server/_ssr/xlsx-iICORIBT.mjs                             1.84 kB │ gzip:   0.92 kB
.output/server/_libs/core-util-is.mjs                             1.95 kB │ gzip:   0.61 kB
.output/server/_ssr/button-Bq5vK6RO.mjs                           2.02 kB │ gzip:   0.88 kB
.output/server/_libs/immediate.mjs                                2.04 kB │ gzip:   0.80 kB
.output/server/_libs/class-variance-authority+clsx.mjs            3.17 kB │ gzip:   1.24 kB
.output/server/_libs/base64-js.mjs                                3.33 kB │ gzip:   1.12 kB
.output/server/_ssr/ssr.mjs                                       3.34 kB │ gzip:   1.46 kB
.output/server/_ssr/ai-CiUJvVjA.mjs                               3.36 kB │ gzip:   1.11 kB
.output/server/_ssr/app.presentations-C8wJI9hq.mjs                3.54 kB │ gzip:   1.24 kB
.output/server/_ssr/golden-quiz-zFShagnh.mjs                      3.55 kB │ gzip:   1.26 kB
.output/server/_ssr/dialog-DIo89e4g.mjs                           3.62 kB │ gzip:   1.13 kB
.output/server/_ssr/automatic-transcription-store--VZcfaYp.mjs    4.08 kB │ gzip:   1.01 kB
.output/server/_ssr/open-answer-review-DRINEMI_.mjs               4.15 kB │ gzip:   1.44 kB
.output/server/_libs/radix-ui__react-switch.mjs                   4.47 kB │ gzip:   1.56 kB
.output/server/_ssr/select-Dg1urBTx.mjs                           5.36 kB │ gzip:   1.51 kB
.output/server/_libs/@radix-ui/react-label+[...].mjs              5.69 kB │ gzip:   1.78 kB
.output/server/_ssr/app.program-VKjPJYNG.mjs                      5.75 kB │ gzip:   1.44 kB
.output/server/_ssr/app.presentations_._outlineId-BTtZAl_8.mjs    6.28 kB │ gzip:   1.69 kB
.output/server/_ssr/document-ingestion-BiJWI_Of.mjs               6.86 kB │ gzip:   2.57 kB
.output/server/_libs/@radix-ui/react-arrow+[...].mjs              7.47 kB │ gzip:   2.38 kB
.output/server/_ssr/automatic-transcription-C2ulj23c.mjs          7.66 kB │ gzip:   2.64 kB
.output/server/_ssr/app.study-plan-Bnzo9XXk.mjs                   7.91 kB │ gzip:   2.48 kB
.output/server/_ssr/app.study-session-CgLXL93g.mjs                8.35 kB │ gzip:   1.93 kB
.output/server/_ssr/app-shell-BBd1zSW1.mjs                        8.77 kB │ gzip:   2.36 kB
.output/server/_ssr/quiz-attempt-details-JMeYG3U4.mjs             8.77 kB │ gzip:   2.51 kB
.output/server/_ssr/ocr-contract-Bl5oSXP5.mjs                     9.55 kB │ gzip:   2.86 kB
.output/server/_libs/h3-v2+srvx.mjs                               9.72 kB │ gzip:   3.01 kB
.output/server/_ssr/app.progress-Y9Lfepyo.mjs                     9.79 kB │ gzip:   2.32 kB
.output/server/_libs/@radix-ui/react-collection+[...].mjs         9.82 kB │ gzip:   2.51 kB
.output/server/_libs/@radix-ui/react-popper+[...].mjs            10.54 kB │ gzip:   3.19 kB
.output/server/_ssr/app.settings-Bfv9z4m9.mjs                    10.97 kB │ gzip:   3.03 kB
.output/server/_ssr/app.calendar-CQY3Qd4S.mjs                    11.64 kB │ gzip:   2.93 kB
.output/server/_libs/tanstack__history.mjs                       12.09 kB │ gzip:   3.48 kB
.output/server/_ssr/ai-draft-modal-Dlw_Vv8K.mjs                  12.34 kB │ gzip:   3.23 kB
.output/server/_ssr/app.search-DrNCcPGc.mjs                      12.78 kB │ gzip:   3.91 kB
.output/server/_libs/h3+rou3+srvx.mjs                            14.21 kB │ gzip:   4.23 kB
.output/server/_ssr/store-BXPBwZSd.mjs                           15.27 kB │ gzip:   3.61 kB
.output/server/_ssr/app.assignments-CGf-kaDH.mjs                 15.49 kB │ gzip:   3.44 kB
.output/server/_tanstack-start-manifest_v-35zYzGPt.mjs           16.03 kB │ gzip:   2.65 kB
.output/server/_ssr/multi-page-image-materials-C1jI7iAI.mjs      16.27 kB │ gzip:   4.16 kB
.output/server/_ssr/long-media-store-DfXUR-0h.mjs                16.47 kB │ gzip:   4.46 kB
.output/server/_ssr/quiz-library-BiRKPQ2A.mjs                    17.09 kB │ gzip:   4.12 kB
.output/server/_libs/radix-ui__react-slider.mjs                  17.57 kB │ gzip:   4.36 kB
.output/server/_ssr/app.lecture-media-DL8lgtpF.mjs               17.84 kB │ gzip:   5.69 kB
.output/server/_ssr/app.notes-B5SYjEuP.mjs                       18.17 kB │ gzip:   4.45 kB
.output/server/_ssr/app.search-_eeeGlNe.mjs                      19.38 kB │ gzip:   5.57 kB
.output/server/_ssr/concept-store-ORjSLnpW.mjs                   20.58 kB │ gzip:   5.24 kB
.output/server/_ssr/syllabus-parser-3LtDIEeP.mjs                 21.13 kB │ gzip:   5.98 kB
.output/server/_ssr/app.materials-DFQ3tOg6.mjs                   24.73 kB │ gzip:   4.71 kB
.output/server/_ssr/app-PKrNxQAj.mjs                             24.77 kB │ gzip:   7.37 kB
.output/server/_ssr/app.courses-C2Mf1Mhy.mjs                     25.11 kB │ gzip:   5.68 kB
.output/server/_libs/@floating-ui/dom+[...].mjs                  25.85 kB │ gzip:   6.56 kB
.output/server/_libs/@floating-ui/core+[...].mjs                 25.89 kB │ gzip:   6.36 kB
.output/server/_ssr/app.notes._noteId-Hr0JDkCN.mjs               30.23 kB │ gzip:   7.27 kB
.output/server/_libs/@floating-ui/react-dom+[...].mjs            31.20 kB │ gzip:   7.97 kB
.output/server/_ssr/material-intake-Cu3WUQFI.mjs                 35.47 kB │ gzip:   9.46 kB
.output/server/_ssr/app.quiz-quality_._quizId-BeIcjU4Y.mjs       36.99 kB │ gzip:   9.58 kB
.output/server/_ssr/ai-generate-dialog-impl-CeLp6Hla.mjs         38.17 kB │ gzip:   7.34 kB
.output/server/_ssr/material-intake-queue-BSfgmLmL.mjs           38.23 kB │ gzip:   8.95 kB
.output/server/index.mjs                                         38.38 kB │ gzip:   9.34 kB
.output/server/_ssr/app.dashboard-BwodceY6.mjs                   40.91 kB │ gzip:   9.29 kB
.output/server/_ssr/app-context-1mv_pRX8.mjs                     44.96 kB │ gzip:  12.86 kB
.output/server/_libs/@radix-ui/react-select+[...].mjs            47.00 kB │ gzip:  10.18 kB
.output/server/_libs/tanstack__query-core.mjs                    47.92 kB │ gzip:  10.65 kB
.output/server/_ssr/app.exam-engine-BESWgcHy.mjs                 51.25 kB │ gzip:  10.85 kB
.output/server/_libs/sonner.mjs                                  51.91 kB │ gzip:  11.77 kB
.output/server/_libs/lucide-react.mjs                            53.65 kB │ gzip:   9.40 kB
.output/server/_ssr/app.import-syllabus-Cw_7-z6J.mjs             56.33 kB │ gzip:  13.62 kB
.output/server/_ssr/server-C3EDA0_p.mjs                          56.92 kB │ gzip:  14.96 kB
.output/server/_libs/lop+option+underscore.mjs                   64.51 kB │ gzip:  15.11 kB
.output/server/_libs/@radix-ui/react-dialog+[...].mjs            69.37 kB │ gzip:  16.75 kB
.output/server/_ssr/app.data-CUihR_E6.mjs                        72.40 kB │ gzip:  16.11 kB
.output/server/_ssr/app.flashcards-EDgzrlBw.mjs                  75.09 kB │ gzip:  15.00 kB
.output/server/_ssr/app.quizzes_._quizId-B0WhMGDY.mjs            76.70 kB │ gzip:  16.05 kB
.output/server/_libs/@tanstack/router-core+[...].mjs             79.54 kB │ gzip:  20.03 kB
.output/server/_libs/tailwind-merge.mjs                          85.65 kB │ gzip:  15.21 kB
.output/server/_ssr/router-AiNL89fk.mjs                          90.56 kB │ gzip:  22.83 kB
.output/server/_ssr/app.courses_._courseId-B3lPx8NA.mjs         133.72 kB │ gzip:  26.43 kB
.output/server/_libs/xmldom__xmldom.mjs                         135.80 kB │ gzip:  38.35 kB
.output/server/_libs/bluebird.mjs                               153.63 kB │ gzip:  31.12 kB
.output/server/_libs/dingbat-to-unicode.mjs                     153.93 kB │ gzip:  13.16 kB
.output/server/_libs/mammoth+[...].mjs                          189.63 kB │ gzip:  34.60 kB
.output/server/_ssr/app.materials_._materialId-CvfbJPNH.mjs     252.05 kB │ gzip:  51.68 kB
.output/server/_libs/jszip+[...].mjs                            273.27 kB │ gzip:  60.96 kB
.output/server/_libs/xlsx.mjs                                   563.58 kB │ gzip: 141.78 kB
.output/server/_libs/@tanstack/react-router+[...].mjs           655.27 kB │ gzip: 137.82 kB
.output/server/_libs/pdfjs-dist.mjs                             756.36 kB │ gzip: 169.18 kB

[32m✓ built in 881ms[39m
[info] [nitro] Using auto generated worker name: `aisarus-syllabus-to-os`
[info] Generated [36m.output/server/wrangler.json[39m
[info] Generated [36m.wrangler/deploy/config.json[39m
[info] Generated [36m.output/public/_headers[39m
[info] Generated [36m.output/nitro.json[39m
[success] [nitro] You can preview this build using `npx vite preview`
[success] [nitro] You can deploy this build using `npx nitro deploy --prebuilt`
